フシギダネ,Bulbasaur
フシギソウ,Ivysaur
フシギバナ,Venusaur
ヒトカゲ,Charmander
リザード,Charmeleon
リザードン,Charizard
ゼニガメ,Squirtle
カメール,Wartortle
カメックス,Blastoise
キャタピー,Caterpie
トランセル,Metapod
バタフリー,Butterfree
ピカチュウ,Pikachu
ライチュウ,Raichu
ピッピ,Clefairy
ピクシー,Clefable
ロコン,Vulpix
キュウコン,Ninetales
ナゾノクサ,Oddish
クサイハナ,Gloom
ラフレシア,Vileplume
ディグダ,Diglett
ダグトリオ,Dugtrio
ニャース,Meowth
ペルシアン,Persian
ガーディ,Growlithe
ウインディ,Arcanine
ワンリキー,Machop
ゴーリキー,Machoke
カイリキー,Machamp
ポニータ,Ponyta
ギャロップ,Rapidash
カモネギ,Farfetch'd
シェルダー,Shellder
パルシェン,Cloyster
ゴース,Gastly
ゴースト,Haunter
ゲンガー,Gengar
イワーク,Onix
クラブ,Krabby
キングラー,Kingler
サワムラー,Hitmonlee
エビワラー,Hitmonchan
ドガース,Koffing
マタドガス,Weezing
サイホーン,Rhyhorn
サイドン,Rhydon
トサキント,Goldeen
アズマオウ,Seaking
バリヤード,Mr. Mime
コイキング,Magikarp
ギャラドス,Gyarados
ラプラス,Lapras
メタモン,Ditto
イーブイ,Eevee
シャワーズ,Vaporeon
サンダース,Jolteon
ブースター,Flareon
カビゴン,Snorlax
ミュウツー,Mewtwo
ミュウ,Mew
ホーホー,Hoothoot
ヨルノズク,Noctowl
チョンチー,Chinchou
ランターン,Lanturn
ピチュー,Pichu
ピィ,Cleffa
トゲピー,Togepi
トゲチック,Togetic
ネイティ,Natu
ネイティオ,Xatu
キレイハナ,Bellossom
ウソッキー,Sudowoodo
ウパー,Wooper
ヌオー,Quagsire
エーフィ,Espeon
ブラッキー,Umbreon
ソーナンス,Wobbuffet
ハガネール,Steelix
ハリーセン,Qwilfish
ツボツボ,Shuckle
ニューラ,Sneasel
ウリムー,Swinub
イノムー,Piloswine
サニーゴ,Corsola
テッポウオ,Remoraid
オクタン,Octillery
デリバード,Delibird
マンタイン,Mantine
バルキー,Tyrogue
カポエラー,Hitmontop
ヨーギラス,Larvitar
サナギラス,Pupitar
バンギラス,Tyranitar
セレビィ,Celebi
ジグザグマ,Zigzagoon
マッスグマ,Linoone
ハスボー,Lotad
ハスブレロ,Lombre
ルンパッパ,Ludicolo
タネボー,Seedot
コノハナ,Nuzleaf
ダーテング,Shiftry
キャモメ,Wingull
ペリッパー,Pelipper
ラルトス,Ralts
キルリア,Kirlia
サーナイト,Gardevoir
ツチニン,Nincada
テッカニン,Ninjask
ヌケニン,Shedinja
ヤミラミ,Sableye
クチート,Mawile
ラクライ,Electrike
ライボルト,Manectric
ロゼリア,Roselia
ホエルコ,Wailmer
ホエルオー,Wailord
コータス,Torkoal
ナックラー,Trapinch
ビブラーバ,Vibrava
フライゴン,Flygon
ルナトーン,Lunatone
ソルロック,Solrock
ドジョッチ,Barboach
ナマズン,Whiscash
ヘイガニ,Corphish
シザリガー,Crawdaunt
ヤジロン,Baltoy
ネンドール,Claydol
ヒンバス,Feebas
ミロカロス,Milotic
ヨマワル,Duskull
サマヨール,Dusclops
ソーナノ,Wynaut
ユキワラシ,Snorunt
オニゴーリ,Glalie
ジラーチ,Jirachi
スボミー,Budew
ロズレイド,Roserade
ミツハニー,Combee
ビークイン,Vespiquen
チェリンボ,Cherubi
チェリム,Cherrim
カラナクシ,Shellos
トリトドン,Gastrodon
フワンテ,Drifloon
フワライド,Drifblim
スカンプー,Stunky
スカタンク,Skuntank
ドーミラー,Bronzor
ドータクン,Bronzong
ウソハチ,Bonsly
マネネ,Mime Jr.
ゴンベ,Munchlax
リオル,Riolu
ルカリオ,Lucario
ヒポポタス,Hippopotas
カバルドン,Hippowdon
スコルピ,Skorupi
ドラピオン,Drapion
グレッグル,Croagunk
ドクロッグ,Toxicroak
タマンタ,Mantyke
ユキカブリ,Snover
ユキノオー,Abomasnow
マニューラ,Weavile
ドサイドン,Rhyperior
トゲキッス,Togekiss
リーフィア,Leafeon
グレイシア,Glaceon
マンムー,Mamoswine
エルレイド,Gallade
ヨノワール,Dusknoir
ユキメノコ,Froslass
ロトム,Rotom
チョロネコ,Purrloin
レパルダス,Liepard
ムンナ,Munna
ムシャーナ,Musharna
マメパト,Pidove
ハトーボー,Tranquill
ケンホロウ,Unfezant
